end_time, 2019/09/04 16:43:45.4044, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1571167383, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 17:01:32.2862, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 514359147, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 17:43:12.8970, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1981235856, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 19:04:55.8053, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 533840257, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 19:10:15.4783, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 713549714, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 19:41:05.8844, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 934056839, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 20:16:21.6319, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1019730576, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 20:32:50.9633, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1589480998, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 21:01:30.4103, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 10744227, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 21:38:07.8691, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 2010140354, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 21:54:40.6671, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1534842222, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 22:16:42.6637, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1923573015, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 22:28:46.0313, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 2103537381, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 23:07:32.3926, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 63245921, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 23:23:58.9223, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 864429272, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 23:45:41.1749, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 780282815, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 23:57:21.8118, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1124306907, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/05 01:10:41.9951, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1349283582, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/05 01:26:56.1113, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1292566613, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/05 01:44:03.3579, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1072860707, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1274, runtime, 99.89844, running_ave_reward, 0.01491365, 
end_time, 2019/09/05 01:49:48.2234, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1850823251, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/05 03:01:12.9374, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1948724332, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1145, runtime, 99.9375, running_ave_reward, 0.01379913, 
end_time, 2019/09/05 03:13:35.0065, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1351889306, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1943, runtime, 99.9375, running_ave_reward, 0.000823469, 
end_time, 2019/09/05 03:24:02.1914, runtime, 48100, discount_factor, 0.97, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1990712145, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1245, runtime, 99.98047, running_ave_reward, 0.01863455, 
